Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
Early Green,Germany-based company producing plant-based meats prioritizing long shelf lives and low refrigeration requirements,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Chicken,Pork","Soy,Pea",Europe,Germany,,Berlin,https://www.earlygreenvegan.de/,,"Bernd Sell, Nicole Sell",logo.png (https://dl.airtable.com/.attachments/499b7f60a09d40c1aa4d6152c8b589c4/fa404183/logo.png)
JackyF,Germany-based company producing jackfruit-based meats,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other","Beef/veal,Pork,Chicken",Jackfruit,Europe,Germany,,Harsefeld,https://jackyf.com/,2016,Julia Huthmann,JACKYF_Logo_ohneSlogan_1024x.png (https://dl.airtable.com/.attachments/3fa02542667e210c5245dbc167cabb0d/af45310c/JACKYF_Logo_ohneSlogan_1024x.png)
Planty of Meat,Germany-based company producing soy-free plant-based products,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Pork,Chicken","Pea,Wheat",Europe,Germany,,Munich,https://planty-of-meat.de/,2019,,logoPlanty-of-Meat-GmbH-168668DE-2201191415.gif (https://dl.airtable.com/.attachments/402ff9eeb05c2d03b3913ec618eb4e77/fbab2497/logoPlanty-of-Meat-GmbH-168668DE-2201191415.gif)
Bettr Egg,Germany-based company producing soy-free plant-based products,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,,Europe,Germany,,Berlin,https://bettr-egg.co/,2021,"Veronica Garcia Arteaga, Patrick Deufel ",Bettr_Egg_Logo_1814x.png (https://dl.airtable.com/.attachments/1d8db4e936ba108dd0e9fc88cb9d9a46/35d3a98e/Bettr_Egg_Logo_1814x.png)
Dr. Mannah's,Germany-based plant-based cheese manufacturers,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,Europe,Germany,,Cuxhaven,https://drmannahs.com/,2012,Mudar Mannah,pf-4befa7b1--LogoDrMannahscol4x.png (https://dl.airtable.com/.attachments/9bd8381548d5d05fbd79bd130414cb0e/d84c88a2/pf-4befa7b1--LogoDrMannahscol4x.png)
Plain,Germany-based plant-based milk producer with a focus on allergy free milk produced in glass bottles,Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Rice,Coconut",Europe,Germany,,Freising,https://plaein.de/,2015,Michael Sysoev Julia Deuter Jonathan Herrmann,01PBM-Logo-PLÄIN-RZ-RGB-Kreis-weiß.png (https://dl.airtable.com/.attachments/f6cf393231c0761d012a7fb324fe71a2/63484fe5/01PBM-Logo-PLAIN-RZ-RGB-Kreis-wei.png)
The VGN,Germany-based producer of liquid egg substitutes using broad bean protein,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,Beans,Europe,Germany,,Ludwigsberg,https://www.thevgn.de/,2021,"Jürgen Achenbach, Martin Hesse, Alexander Wilczek, and Dieter Lamprecht,",
Unmilk,Germany-based plant based milk producer,Plant-based,Dairy,End product formulation and manufacturing,Milk,,Oat,Europe,Germany,,Hamburg,https://unmilk.com/,2020,Jennifer Schäfer,Unmilk_Logo_RGB_1182x.jpeg (https://dl.airtable.com/.attachments/b05b9e6bfe8079b9fdc318253e9045b5/90434cc7/Unmilk_Logo_RGB_1182x.jpeg)
Velike,"Germany-based plant-based milk, yogurt, and ice cream producer",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,Oat,Europe,Germany,,Offenburg,https://ve-like.de/,2019,,beckesepp-lieferanten-velike.png (https://dl.airtable.com/.attachments/3040627ac7e43b0562fe535c6331cfc0/4856f87c/beckesepp-lieferanten-velike.png)
Prefer Food,Swedish based company producing alternative dairy products based on milk protein produced via precision fermentation,Precision fermentation,Dairy,"Bioprocess design,End product formulation and manufacturing,Cell line development","Milk,Cheese,Other dairy",Beef/veal,"Casein,Yeast","Europe,U.S. and Canada",Sweden,,Stockholm,preferfood.com,2021,Martin Åmark and Siavash Bashiri,
Sea-Stematic,MEA's first early stage Cultivated Seafood company,Cultivated,Seafood,End product formulation and manufacturing,,,,Africa/Middle East,South Africa,,Johannesburg ,https://sea-stematic.com/,2021,Marica Quarsingh,IMG-20210502-WA0003 (002).jpg (https://dl.airtable.com/.attachments/b9b6646bb4dc3c8244f986c40e63cd03/d16851ef/IMG-20210502-WA0003002.jpg)
Mermade Seafoods,Israeli cell-based seafood company specializing in shellfish,Cultivated,Seafood,"Cell culture media,Cell line development,Bioprocess design,End product formulation and manufacturing",,,,Global,Israel,,Jerusalem,www.mermadefoods.com,2021,"Tomer Halevy, Rotem Kadir, Daniel Einhorn",mermade aqua_grey (1).png (https://dl.airtable.com/.attachments/f0b49614584455d917a34f11d3b650e4/2f487ef1/mermadeaqua_grey1.png)
Vegano Foods,Global company that produces a line of non-dairy or egg condiments,Plant-based,"Dairy,Eggs",Ingredient optimization,"Other dairy,Eggs",Other,,Global,United States,Michigan,Birmingham,Vegano Foods,2020,"George Vutetakis, David valade",logoopbwhitegreen.jpg (https://dl.airtable.com/.attachments/f4e9db0dc73328cbef881e3167fffa23/32844e87/logoopbwhitegreen.jpg)
Väcka,Spanish company designs and produces fermented plant-based food products (conventional cheese analogs),"Plant-based,Traditional fermentation",Dairy,End product formulation and manufacturing,Cheese,,Other,Europe,Spain,,Catalonia,https://vacka.es/,2019,"Ana Luz, Maxime Boniface",vacka-logo-blanco.png (https://dl.airtable.com/.attachments/c0eb24e32178246c4d95002d60100402/6a2d0a2f/vacka-logo-blanco.png)
iLabs,U.S.-based company building rapid testing platform for alternative protein ,"Cultivated,Traditional fermentation,Biomass fermentation,Precision fermentation","Bioprocessing infrastructure and equipment,Other",Bioprocess design,,,,U.S. and Canada,United States,California,Santa Clara,https://twitter.com/InSightLabz,2021,Sesana Ajina,
Freshwoof ,"India-based company producing sustainable, plant-based dog food ",Plant-based,"Meat,Other",End product formulation and manufacturing,Pet food,,Chickpea,Asia Pacific,India ,,Jaipur,https://freshwoof.com,2019,"Saakshi Sharma, Tejwinder Singh",freshwoof.jpeg (https://dl.airtable.com/.attachments/1424b30b87c60a4ae5c038adc2979454/ceaadb66/freshwoof.jpeg)
Maya Milk,Turkey-based company producing animal-origin-free diary proteins and fats ,Precision fermentation,Dairy,"Ingredient optimization,Cell line development",Milk,,,"Africa/Middle East,Global",Turkey,,Izmir,https://www.mayamilk.com,2021,Murat Badur,maya milk.png (https://dl.airtable.com/.attachments/310ee381b2354d168388cf4a149227eb/51af6c45/mayamilk.png)
Plant Ranch ,"U.S.-based company that produces plant-based meat products that are authentically flavored using generations-old Mexican recipes, including carne asada and al pastor",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken",Wheat,U.S. and Canada,United States,California,Los Angeles,https://www.plantranchfoods.com/,2016,"Mike Simms, Carmen Santillan and Gary Huerta",plantranch.jpeg (https://dl.airtable.com/.attachments/2ae5bde0820cad886bedf37196d37724/014d88ab/plantranch.jpeg)
Wellme (Welmi),China-based company that produces plant-based yogurt optimized for gut health ,"Plant-based,Traditional fermentation",Dairy,End product formulation and manufacturing,Other dairy,,Chickpea,"Asia Pacific,Global",China,,Shanghai,https://www.wellmefood.com/,2021,Yong Liang ,wellme-logo-Liang-Deyong.png (https://dl.airtable.com/.attachments/6c3318ed0a92de0162f6e2c6ce1134c2/afad0e71/wellme-logo-Liang-Deyong.png)
Gaia's Farming Co.,London based company processing hemp for the food & beverage sector. Consumer Facing. Focus on dairy-alternatives.,Plant-based,"Dairy,Ingredients and inputs,Bioprocessing infrastructure and equipment,Food processing infrastructure and equipment","Ingredient optimization,Bioprocess design","Oils and fats,Milk",,"Hemp,Oat,Coconut",Europe,United Kingdom,,London,www.gaiasfarming.co,2020,Michael Kyriakou,Gaia's Farming Co._image square 1000x1000px.jpg (https://dl.airtable.com/.attachments/1f6d985a2e572316f5bd4da556ab38fb/ae99bd8f/GaiasFarmingCo._imagesquare1000x1000px.jpg)
Tomorrow Farms ,"U.S.-based company that builds and grows brands of various alternative protein products, including a company producing milk using microbial fermentation called Bored Cow",Traditional fermentation,"Dairy,Other",End product formulation and manufacturing,"Other,Milk",,,U.S. and Canada,United States,New York,New York City ,https://www.tomorrowfarms.co,2021,Ben Berman,tomorrow farms .jpeg (https://dl.airtable.com/.attachments/48346983daeedd998902366001b40d3e/b79a5923/tomorrowfarms.jpeg)
Onego Bio,Finland-based company developing animal-free egg whites through precision fermentation.,Precision fermentation,Eggs,,,,,,,,,https://www.onego.bio/,,,
Pullulo Pte Ltd,Pullulo upcycles agriculture leftovers such a fruits & vegetables into microbial for various food applications using disruptive fermentation technology. ,"Biomass fermentation,Fermentation-derived,Precision fermentation","Meat,Seafood,Ingredients and inputs,Eggs,Dairy","End product formulation and manufacturing,Ingredient optimization","Ground meat,Eggs,Ingredients","Beef/veal,Pork,Fish,Chicken,Tuna,Turkey,Mutton/lamb","Palm,Coconut,Cauliflower,Eggplant",Asia Pacific,Singapore,,Singapore,www.pullulo.com.sg,2022,Jonathan Cheng,"Pullulo Logo.zip (https://dl.airtable.com/.attachments/623aec6f2d61e40d601e24fbb263d5a4/ec89b01e/PulluloLogo.zip),Logo Main.png (https://dl.airtable.com/.attachments/159e3a119604c744623e7c14f041d077/fb1999bf/LogoMain.png)"
Meatosis,Israel-based company developing cell-cultured fish products,Cultivated,Seafood,"Cell line development,Ingredient optimization",,Fish,,Africa/Middle East,Israel,,Emek Hama'ayanot,not available yet,2021,"Einam Avishai, Peleg Itay",Meatosis logo.jpg (https://dl.airtable.com/.attachments/349ba433a09b54e167de202de1d20c93/4014a0a5/Meatosislogo.jpg)
Meatless Kingdom,Indonesian-based company that produces Indonesia-inspired foods from locally-sourced plant-based ingredients that is both tasty and has a higher nutritional profile,Plant-based,Meat,End product formulation and manufacturing,"Other meat,Whole muscle meat","Beef/veal,Pork,Chicken",,Asia Pacific,Indonesia,,West Java,www.meatlesskingdom.com,2019,Widya Putra and Budiman,NEW LOGO MK PNG.png (https://dl.airtable.com/.attachments/a57c43f5b4e0cc783060e2fe8d174212/6f072e45/NEWLOGOMKPNG.png)
Ohayo Vallley,US-based company blending plant-based and cultivated meat to produce cultivated wagyu ribeye,Cultivated,Meat,"End product formulation and manufacturing,Cell line development,Scaffolding and structure","Whole muscle meat,Ground meat",Beef/veal,,U.S. and Canada,United States,California,Berkeley,www.ohayovalley.com,2020,Jess Krieger,Ohayo_Valley_logo_RGB_2.jpg (https://dl.airtable.com/.attachments/0401e3000a2e5ff4bdf9b19ffacb534a/7c118720/Ohayo_Valley_logo_RGB_2.jpg)
Meatleo,"Canada-based company using cell culture and a unique manufacturing bioprocess to develop cultivated beef.
",Cultivated,"Meat,Ingredients and inputs",End product formulation and manufacturing,Ground meat,,,U.S. and Canada,Canada,Québec,Saint-Bruno-de-Montarville,https://meatleo.com/,2021,Pierre Normandin,
Urban Tiller Pte Ltd,"We are a Singaporean startup working on protein extraction from all types of leaves. We are developing a proprietary platform that can process leaves of any type to extract leaf protein called Rubisco, the world’s most abundant high-quality protein. ",Plant-based,"Ingredients and inputs,Other","Ingredient optimization,Crop development,Feedstocks",,,"Duckweed,Lentils,Water Lentil,RuBisCO Protein ",Asia Pacific,Singapore,,Singapore,www.urbantiller.com,2020,"Arjun Ayyagari, Vaibhaw Dwivedi, RENERGii Ventures pte ltd",Urban Tiller Logo new square.png (https://dl.airtable.com/.attachments/833a5f6e255f2781c4f2eb8685d903bb/031654f1/UrbanTillerLogonewsquare.png)
Ouro Foods,"Ouro Foods is developing 4D tissue engineering + bioprinting technologies  to create plant- and cell-based meat that “corrects” flavor and aroma for a variety of taste-impaired palate profiles. This protein will be the centerpiece of meal kits targeting taste impaired patients. 

","Plant-based,Cultivated",Meat,End product formulation and manufacturing,,,,U.S. and Canada,United States,California,,http://www.ourofoods.com,2022,,
The Better Meat Co.,Fermentation experts creating delicious mycelium ingredients for food companies to make the most convincing alt-meats.,Biomass fermentation,"Meat,Seafood","Ingredient optimization,Feedstocks","Ground meat,Pet food,Other meat,Ingredients,Other","Beef/veal,Chicken,Pork,Turkey,Fish,Shellfish,Crab,Tuna,Other",Fungi,U.S. and Canada,United States,California,Sacramento,www.bettermeat.co,2018,Paul Shapiro and Joanna Bromley,The Better Meat logo.jpg (https://dl.airtable.com/.attachments/fdefb86e4d711ac27057ea14b3e42430/2fdf9952/TheBetterMeatlogo.jpg)
Smart MCs,Australian based company that provides the means for up-scaling the cell culture of cultivated meat companies.,Cultivated,"Meat,Ingredients and inputs,Other","Scaffolding and structure,Ingredient optimization",Other,,,Australia,Australia,,Sydney,www.SmartMCs.com.au,2022,"Payar Radfar, Lin Ding and Majid Ebrahimi Warkiani",Smart MCs Logo Main.png (https://dl.airtable.com/.attachments/d400a30c6b2f71a7828378f571bbe581/f5eac259/SmartMCsLogoMain.png)
ImpacFat,"Developing fish cell-based fat that is tasty, nutritional and sustainable",Cultivated,"Meat,Seafood,Ingredients and inputs","Ingredient optimization,Cell line development,End product formulation and manufacturing","Other meat,Oils and fats,Ingredients",Fish,,Asia Pacific,Singapore,,,https://www.impacfat.com/,2022,"Shigeki Sugii, Mandy Hon, Lamony Chew, Cheryl Wong, Angela Lwin, Wee Kiat Ong",impacfat logo.jpg (https://dl.airtable.com/.attachments/ef77f949b765ed48d5a9a9f6d0ff82a6/fbce3c76/impacfatlogo.jpg)
Eggmented Reality,"Fermentation based non-GM functional proteins for the food industry, starting with vegan ovalbumin and related proteins",Precision fermentation,Eggs,,Eggs,,,Africa/Middle East,Israel,,,https://fresh-start.co.il/portfolio/,2022,,
cellqua,South Korea-based startup producing cultivated seafood products,Cultivated,Seafood,End product formulation and manufacturing,,,,Asia Pacific,South Korea,,Sungnam-si,https://www.cellqua.io,2021,"Sangyoon Lee, Sangyup Lee",cellqua_color_logo.png (https://dl.airtable.com/.attachments/867b1f035e67891187bb6d4957fbb52c/2285292b/cellqua_color_logo.png)
Nimble Foods,US-based company producing frozen single serve plant-based entrees for retail consumers.,Plant-based,Other,End product formulation and manufacturing,,,,U.S. and Canada,United States,New York,New York,eatnimble.com,2022,"Michael Pease, Craig Cochran",NimbleLogo.png (https://dl.airtable.com/.attachments/1cea1827a1b20ee3219d5d755f384460/c58dbe66/NimbleLogo.png)
Wild Earth Inc,"The leading US producer of alternative proteins for our pets, $12MM ARR today for our plant based products with cell based ingredients coming soon.","Plant-based,Cultivated,Fermentation-derived","Meat,Ingredients and inputs","Cell culture media,Ingredient optimization,Cell line development,Feedstocks,Bioprocess design,End product formulation and manufacturing,Scaffolding and structure","Ground meat,Ingredients,Pet food","Beef/veal,Chicken","Yeast,Pea,Soy,Barley,Canola,Peanut,Potato,Rice","U.S. and Canada,Asia Pacific",United States,California,Berkeley,www.wildearth.com,2017,"Ryan Bethencourt, Abril Estrada",WildEarth_LogoIconForrest-05.png (https://dl.airtable.com/.attachments/69838d76b5efb0bc4f31a16166d7ed14/c546a41f/WildEarth_LogoIconForrest-05.png)
Clever Carnivore,"US-based cultivated meat company focusing on large scale, cost-effective production of high quality pork, beef, and chicken",Cultivated,Meat,"Cell culture media,Bioprocess design,End product formulation and manufacturing,Ingredient optimization,Cell line development",Ground meat,"Pork,Beef/veal,Chicken",,U.S. and Canada,United States,Illinois,Chicago,https://clevercarnivore.com,2021,Paul Burridge and Virginia Rangos,CC_Logo_HOR_CMYK.jpg (https://dl.airtable.com/.attachments/27851b22fca7aaf45efab1c3b5d7e90a/9c96e3d7/CC_Logo_HOR_CMYK.jpg)
ANPOLY,A company that uses nanocellulose to improve the texture of alternative meat and alternative foods,"Plant-based,Cultivated","Meat,Seafood,Ingredients and inputs,Other","Scaffolding and structure,Ingredient optimization",Ingredients,,,Asia Pacific,South Korea,,POHANG,https://www.anpolyinc.com/,2017,RHO,[로고1]ANPOLY LOGO 가로_고해상도.png (https://dl.airtable.com/.attachments/ce368106b608d4f549f49ad599450ab4/ce01ea6c/1ANPOLYLOGO_.png)
Meatiply,"Singapore-based local company developing and producing cultivated meat cuts through cutting-edge research, with the vision of generating healthier and more environmentally-friendly products that mimic the taste and texture of conventional meat.",Cultivated,"Meat,Ingredients and inputs,Bioprocessing infrastructure and equipment,Contract manufacturing/processing,Other","Cell line development,Bioprocess design,Cell culture media,Scaffolding and structure,End product formulation and manufacturing,Ingredient optimization",Whole muscle meat,"Chicken,Duck,Pork",,"Asia Pacific,Global",Singapore,,Singapore,https://meatiply.com/,2021,"Prof. Teh Bin Tean, Dr. Elwin Tan, Dr. Jason Chua, Dr. Benjamin Chua",meatiply-secondary_logo-full_color.jpg (https://dl.airtable.com/.attachments/5ea3ad05b5647f222cd12f745cd6e4aa/3786e208/meatiply-secondary_logo-full_color.jpg)
